episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9,agent5_comp_units,agent5_channel_quality,agent5_remain_epochs,agent5_power,agent5_action,agent5_reward,agent5_mec_comp_unit_0,agent5_mec_comp_unit_1,agent5_mec_comp_unit_2,agent5_mec_comp_unit_3,agent5_mec_comp_unit_4,agent5_mec_comp_unit_5,agent5_mec_comp_unit_6,agent5_mec_comp_unit_7,agent5_mec_comp_unit_8,agent5_mec_comp_unit_9,agent6_comp_units,agent6_channel_quality,agent6_remain_epochs,agent6_power,agent6_action,agent6_reward,agent6_mec_comp_unit_0,agent6_mec_comp_unit_1,agent6_mec_comp_unit_2,agent6_mec_comp_unit_3,agent6_mec_comp_unit_4,agent6_mec_comp_unit_5,agent6_mec_comp_unit_6,agent6_mec_comp_unit_7,agent6_mec_comp_unit_8,agent6_mec_comp_unit_9,agent7_comp_units,agent7_channel_quality,agent7_remain_epochs,agent7_power,agent7_action,agent7_reward,agent7_mec_comp_unit_0,agent7_mec_comp_unit_1,agent7_mec_comp_unit_2,agent7_mec_comp_unit_3,agent7_mec_comp_unit_4,agent7_mec_comp_unit_5,agent7_mec_comp_unit_6,agent7_mec_comp_unit_7,agent7_mec_comp_unit_8,agent7_mec_comp_unit_9,agent8_comp_units,agent8_channel_quality,agent8_remain_epochs,agent8_power,agent8_action,agent8_reward,agent8_mec_comp_unit_0,agent8_mec_comp_unit_1,agent8_mec_comp_unit_2,agent8_mec_comp_unit_3,agent8_mec_comp_unit_4,agent8_mec_comp_unit_5,agent8_mec_comp_unit_6,agent8_mec_comp_unit_7,agent8_mec_comp_unit_8,agent8_mec_comp_unit_9,agent9_comp_units,agent9_channel_quality,agent9_remain_epochs,agent9_power,agent9_action,agent9_reward,agent9_mec_comp_unit_0,agent9_mec_comp_unit_1,agent9_mec_comp_unit_2,agent9_mec_comp_unit_3,agent9_mec_comp_unit_4,agent9_mec_comp_unit_5,agent9_mec_comp_unit_6,agent9_mec_comp_unit_7,agent9_mec_comp_unit_8,agent9_mec_comp_unit_9,agent10_comp_units,agent10_channel_quality,agent10_remain_epochs,agent10_power,agent10_action,agent10_reward,agent10_mec_comp_unit_0,agent10_mec_comp_unit_1,agent10_mec_comp_unit_2,agent10_mec_comp_unit_3,agent10_mec_comp_unit_4,agent10_mec_comp_unit_5,agent10_mec_comp_unit_6,agent10_mec_comp_unit_7,agent10_mec_comp_unit_8,agent10_mec_comp_unit_9,agent11_comp_units,agent11_channel_quality,agent11_remain_epochs,agent11_power,agent11_action,agent11_reward,agent11_mec_comp_unit_0,agent11_mec_comp_unit_1,agent11_mec_comp_unit_2,agent11_mec_comp_unit_3,agent11_mec_comp_unit_4,agent11_mec_comp_unit_5,agent11_mec_comp_unit_6,agent11_mec_comp_unit_7,agent11_mec_comp_unit_8,agent11_mec_comp_unit_9,agent12_comp_units,agent12_channel_quality,agent12_remain_epochs,agent12_power,agent12_action,agent12_reward,agent12_mec_comp_unit_0,agent12_mec_comp_unit_1,agent12_mec_comp_unit_2,agent12_mec_comp_unit_3,agent12_mec_comp_unit_4,agent12_mec_comp_unit_5,agent12_mec_comp_unit_6,agent12_mec_comp_unit_7,agent12_mec_comp_unit_8,agent12_mec_comp_unit_9,agent13_comp_units,agent13_channel_quality,agent13_remain_epochs,agent13_power,agent13_action,agent13_reward,agent13_mec_comp_unit_0,agent13_mec_comp_unit_1,agent13_mec_comp_unit_2,agent13_mec_comp_unit_3,agent13_mec_comp_unit_4,agent13_mec_comp_unit_5,agent13_mec_comp_unit_6,agent13_mec_comp_unit_7,agent13_mec_comp_unit_8,agent13_mec_comp_unit_9,agent14_comp_units,agent14_channel_quality,agent14_remain_epochs,agent14_power,agent14_action,agent14_reward,agent14_mec_comp_unit_0,agent14_mec_comp_unit_1,agent14_mec_comp_unit_2,agent14_mec_comp_unit_3,agent14_mec_comp_unit_4,agent14_mec_comp_unit_5,agent14_mec_comp_unit_6,agent14_mec_comp_unit_7,agent14_mec_comp_unit_8,agent14_mec_comp_unit_9,agent15_comp_units,agent15_channel_quality,agent15_remain_epochs,agent15_power,agent15_action,agent15_reward,agent15_mec_comp_unit_0,agent15_mec_comp_unit_1,agent15_mec_comp_unit_2,agent15_mec_comp_unit_3,agent15_mec_comp_unit_4,agent15_mec_comp_unit_5,agent15_mec_comp_unit_6,agent15_mec_comp_unit_7,agent15_mec_comp_unit_8,agent15_mec_comp_unit_9,agent16_comp_units,agent16_channel_quality,agent16_remain_epochs,agent16_power,agent16_action,agent16_reward,agent16_mec_comp_unit_0,agent16_mec_comp_unit_1,agent16_mec_comp_unit_2,agent16_mec_comp_unit_3,agent16_mec_comp_unit_4,agent16_mec_comp_unit_5,agent16_mec_comp_unit_6,agent16_mec_comp_unit_7,agent16_mec_comp_unit_8,agent16_mec_comp_unit_9,agent17_comp_units,agent17_channel_quality,agent17_remain_epochs,agent17_power,agent17_action,agent17_reward,agent17_mec_comp_unit_0,agent17_mec_comp_unit_1,agent17_mec_comp_unit_2,agent17_mec_comp_unit_3,agent17_mec_comp_unit_4,agent17_mec_comp_unit_5,agent17_mec_comp_unit_6,agent17_mec_comp_unit_7,agent17_mec_comp_unit_8,agent17_mec_comp_unit_9,agent18_comp_units,agent18_channel_quality,agent18_remain_epochs,agent18_power,agent18_action,agent18_reward,agent18_mec_comp_unit_0,agent18_mec_comp_unit_1,agent18_mec_comp_unit_2,agent18_mec_comp_unit_3,agent18_mec_comp_unit_4,agent18_mec_comp_unit_5,agent18_mec_comp_unit_6,agent18_mec_comp_unit_7,agent18_mec_comp_unit_8,agent18_mec_comp_unit_9,agent19_comp_units,agent19_channel_quality,agent19_remain_epochs,agent19_power,agent19_action,agent19_reward,agent19_mec_comp_unit_0,agent19_mec_comp_unit_1,agent19_mec_comp_unit_2,agent19_mec_comp_unit_3,agent19_mec_comp_unit_4,agent19_mec_comp_unit_5,agent19_mec_comp_unit_6,agent19_mec_comp_unit_7,agent19_mec_comp_unit_8,agent19_mec_comp_unit_9
112,4,0,0,1,5,7.5,0,-0.2,2,6,9,2,7,0,0,0,0,0,0,1,5,6.0,1,0.0,1,1,10,7,10,0,0,0,0,0,0,1,5,7.0,1,0.0,3,6,9,3,5,0,0,0,0,0,0,1,5,7.5,0,-0.2,10,8,1,4,4,0,0,0,0,0,0,0,5,6.0,0,-0.2,8,6,4,7,9,0,0,0,0,0,0,1,5,7.5,0,-0.2,10,8,2,5,1,0,0,0,0,0,0,1,5,6.5,0,-0.2,4,6,2,2,9,0,0,0,0,0,40,1,5,6.0,0,3.9,5,4,5,3,6,0,0,0,0,0,43,1,5,6.0,0,4.9,2,5,6,2,10,0,0,0,0,0,32,1,5,6.5,0,3.9,2,10,1,8,5,0,0,0,0,0,39,1,5,6.0,1,0.0,3,9,2,6,10,0,0,0,0,0,20,1,5,7.5,0,1.9,2,2,10,7,10,0,0,0,0,0,24,1,5,7.5,0,4.9,8,6,3,10,8,0,0,0,0,0,35,0,5,7.0,1,-0.2,2,8,5,10,7,0,0,0,0,0,71,1,5,7.0,0,7.9,3,3,10,3,9,0,0,0,0,0,70,0,5,7.0,0,8.9,10,3,10,10,8,0,0,0,0,0,91,0,5,5.5,1,-0.2,6,7,10,2,7,0,0,0,0,0,77,1,5,7.0,0,8.9,7,2,5,4,10,0,0,0,0,0,98,1,5,5.5,1,0.0,6,9,1,1,9,0,0,0,0,0,90,1,5,7.0,0,3.9,4,10,3,8,4,0,0,0,0,0
112,5,0,0,1,4,6.5,1,0.0,6,9,2,7,0,0,0,0,0,0,0,1,4,5.5,0,-0.2,1,10,7,10,0,0,0,0,0,0,0,1,4,6.0,1,0.0,6,9,3,5,0,0,0,0,0,0,0,1,4,6.5,1,0.0,8,1,4,4,0,0,0,0,0,0,0,0,4,5.5,0,-0.2,6,4,7,9,0,0,0,0,0,0,0,1,4,6.5,1,0.0,8,2,5,1,0,0,0,0,0,0,0,1,4,5.5,1,0.0,6,2,2,9,0,0,0,0,0,0,40,1,4,5.0,1,0.0,4,5,3,6,0,0,0,0,0,0,43,1,4,5.0,1,0.0,5,6,2,10,0,0,0,0,0,0,30,1,4,6.0,0,1.9,10,1,8,5,0,0,0,0,0,0,39,1,4,5.0,1,0.0,9,2,6,10,0,0,0,0,0,0,18,0,4,7.0,0,1.9,2,10,7,10,0,0,0,0,0,0,16,1,4,7.0,0,7.9,6,3,10,8,0,0,0,0,0,0,33,0,4,6.5,0,1.9,8,5,10,7,0,0,0,0,0,0,71,1,4,6.0,1,0.0,3,10,3,9,0,0,0,0,0,0,60,0,4,6.5,0,9.9,3,10,10,8,0,0,0,0,0,0,91,0,4,4.5,1,-0.2,7,10,2,7,0,0,0,0,0,0,77,1,4,6.0,1,0.0,2,5,4,10,0,0,0,0,0,0,92,1,4,5.0,0,5.9,9,1,1,9,0,0,0,0,0,0,86,1,4,6.5,0,3.9,10,3,8,4,0,0,0,0,0,0
112,6,0,0,1,3,5.5,1,0.0,9,2,7,0,0,0,0,0,0,0,0,1,3,4.5,1,0.0,10,7,10,0,0,0,0,0,0,0,0,1,3,5.0,1,0.0,9,3,5,0,0,0,0,0,0,0,0,1,3,5.5,1,0.0,1,4,4,0,0,0,0,0,0,0,0,1,3,4.5,1,-0.2,4,7,9,0,0,0,0,0,0,0,0,1,3,5.5,1,0.0,2,5,1,0,0,0,0,0,0,0,0,1,3,4.5,1,0.0,2,2,9,0,0,0,0,0,0,0,36,1,3,4.5,0,3.9,5,3,6,0,0,0,0,0,0,0,38,1,3,4.5,0,4.9,6,2,10,0,0,0,0,0,0,0,20,0,3,5.5,0,9.9,1,8,5,0,0,0,0,0,0,0,39,1,3,4.0,1,0.0,2,6,10,0,0,0,0,0,0,0,16,0,3,6.5,0,1.9,10,7,10,0,0,0,0,0,0,0,10,1,3,6.5,0,5.9,3,10,8,0,0,0,0,0,0,0,33,0,3,5.5,1,-0.2,5,10,7,0,0,0,0,0,0,0,68,0,3,5.5,0,2.9,10,3,9,0,0,0,0,0,0,0,60,0,3,5.5,1,-0.2,10,10,8,0,0,0,0,0,0,0,84,0,3,4.0,0,6.9,10,2,7,0,0,0,0,0,0,0,75,1,3,5.5,0,1.9,5,4,10,0,0,0,0,0,0,0,83,1,3,4.5,0,8.9,1,1,9,0,0,0,0,0,0,0,86,1,3,5.5,1,0.0,3,8,4,0,0,0,0,0,0,0
112,7,0,0,1,2,5.0,0,-0.2,2,7,0,0,0,0,0,0,0,0,0,1,2,3.5,1,0.0,7,10,0,0,0,0,0,0,0,0,0,1,2,4.0,1,0.0,3,5,0,0,0,0,0,0,0,0,0,1,2,4.5,1,0.0,4,4,0,0,0,0,0,0,0,0,0,1,2,3.5,1,0.0,7,9,0,0,0,0,0,0,0,0,0,1,2,4.5,1,0.0,5,1,0,0,0,0,0,0,0,0,0,1,2,4.0,0,-0.2,2,9,0,0,0,0,0,0,0,0,31,1,2,4.0,0,4.9,3,6,0,0,0,0,0,0,0,0,38,1,2,3.5,1,0.0,2,10,0,0,0,0,0,0,0,0,19,0,2,5.0,0,0.9,8,5,0,0,0,0,0,0,0,0,37,1,2,3.5,0,1.9,6,10,0,0,0,0,0,0,0,0,6,0,2,6.0,0,9.9,7,10,0,0,0,0,0,0,0,0,7,1,2,6.0,0,2.9,10,8,0,0,0,0,0,0,0,0,28,0,2,5.0,0,4.9,10,7,0,0,0,0,0,0,0,0,58,0,2,5.0,0,9.9,3,9,0,0,0,0,0,0,0,0,60,0,2,4.5,1,-0.2,10,8,0,0,0,0,0,0,0,0,74,1,2,3.5,0,9.9,2,7,0,0,0,0,0,0,0,0,70,1,2,5.0,0,4.9,4,10,0,0,0,0,0,0,0,0,82,1,2,4.0,0,0.9,1,9,0,0,0,0,0,0,0,0,83,1,2,5.0,0,2.9,8,4,0,0,0,0,0,0,0,0
112,8,0,0,1,1,4.0,1,0.0,7,0,0,0,0,0,0,0,0,0,0,1,1,3.0,0,-0.2,10,0,0,0,0,0,0,0,0,0,0,1,1,3.0,1,0.0,5,0,0,0,0,0,0,0,0,0,0,1,1,3.5,1,0.0,4,0,0,0,0,0,0,0,0,0,0,1,1,2.5,1,0.0,9,0,0,0,0,0,0,0,0,0,0,1,1,3.5,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,3.5,0,-0.2,9,0,0,0,0,0,0,0,0,0,28,1,1,3.5,0,2.9,6,0,0,0,0,0,0,0,0,0,38,1,1,2.5,1,0.0,10,0,0,0,0,0,0,0,0,0,11,0,1,4.5,0,7.9,5,0,0,0,0,0,0,0,0,0,37,1,1,2.5,1,0.0,10,0,0,0,0,0,0,0,0,0,0,0,1,5.5,0,-0.2,10,0,0,0,0,0,0,0,0,0,7,1,1,5.0,1,0.0,8,0,0,0,0,0,0,0,0,0,18,0,1,4.5,0,9.9,7,0,0,0,0,0,0,0,0,0,55,0,1,4.5,0,2.9,9,0,0,0,0,0,0,0,0,0,50,1,1,4.0,0,9.9,8,0,0,0,0,0,0,0,0,0,72,1,1,3.0,0,1.9,7,0,0,0,0,0,0,0,0,0,66,1,1,4.5,0,3.9,10,0,0,0,0,0,0,0,0,0,81,1,1,3.5,0,0.9,9,0,0,0,0,0,0,0,0,0,75,1,1,4.5,0,7.9,4,0,0,0,0,0,0,0,0,0
112,9,0,0,1,0,3.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,0,-0.2,0,0,0,0,0,0,0,0,0,0,22,1,0,3.0,0,5.9,0,0,0,0,0,0,0,0,0,0,28,1,0,2.0,0,9.9,0,0,0,0,0,0,0,0,0,0,11,0,0,3.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,37,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,4.5,0,-0.2,0,0,0,0,0,0,0,0,0,0,11,0,0,4.0,0,6.9,0,0,0,0,0,0,0,0,0,0,55,0,0,3.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,42,1,0,3.5,0,7.9,0,0,0,0,0,0,0,0,0,0,65,1,0,2.5,0,6.9,0,0,0,0,0,0,0,0,0,0,56,1,0,4.0,0,9.9,0,0,0,0,0,0,0,0,0,0,72,1,0,3.0,0,8.9,0,0,0,0,0,0,0,0,0,0,71,1,0,4.0,0,3.9,0,0,0,0,0,0,0,0,0,0
113,0,83,2,0,9,9.5,0,7.9,8,1,6,8,7,9,4,6,7,0,5,0,9,9.5,0,4.9,7,10,3,4,8,10,2,6,9,0,10,1,9,9.0,1,-0.2,10,7,7,8,2,8,5,8,8,0,2,1,9,9.5,0,7.9,2,9,5,1,7,3,7,10,1,0,5,0,9,9.5,0,4.9,10,10,7,6,10,9,10,4,6,0,2,0,9,9.5,0,7.9,6,1,3,10,3,2,7,5,1,0,7,0,9,9.5,0,2.9,3,10,5,7,9,4,6,5,2,0,44,0,9,9.5,0,5.9,8,5,7,3,3,8,3,5,8,0,50,1,9,9.0,1,-0.2,6,5,6,9,9,2,3,3,5,0,50,1,9,9.0,1,0.8,6,6,10,2,5,8,9,3,2,0,48,0,9,9.5,0,1.9,2,10,9,5,6,10,4,3,10,0,50,0,9,9.0,1,-0.2,7,7,2,1,5,1,9,3,8,0,49,1,9,9.5,0,0.9,5,1,6,3,2,8,3,3,4,0,40,0,9,9.5,0,9.9,4,5,4,1,1,8,6,5,1,0,91,0,9,9.5,0,8.9,5,3,8,5,2,8,10,5,10,0,93,0,9,9.5,0,6.9,1,7,5,4,9,5,5,1,8,0,94,0,9,9.5,0,5.9,9,1,10,5,5,8,6,2,6,0,97,0,9,9.5,0,2.9,10,5,6,3,1,7,1,5,7,0,96,0,9,9.5,0,3.9,3,8,10,8,5,3,7,3,6,0,91,0,9,9.5,0,8.9,5,10,2,7,7,7,5,8,4,0
113,1,28,2,0,8,8.5,1,-0.2,1,6,8,7,9,4,6,7,0,0,5,0,8,8.5,1,-0.2,10,3,4,8,10,2,6,9,0,0,0,1,8,8.5,0,9.9,7,7,8,2,8,5,8,8,0,0,0,1,8,9.0,0,1.9,9,5,1,7,3,7,10,1,0,0,0,0,8,9.0,0,-0.2,10,7,6,10,9,10,4,6,0,0,2,0,8,8.5,1,-0.2,1,3,10,3,2,7,5,1,0,0,4,0,8,9.0,0,2.9,10,5,7,9,4,6,5,2,0,0,36,0,8,9.0,0,7.9,5,7,3,3,8,3,5,8,0,0,44,1,8,8.5,0,5.9,5,6,9,9,2,3,3,5,0,0,50,0,8,8.0,1,5.8,6,10,2,5,8,9,3,2,0,0,48,0,8,8.5,1,-0.2,10,9,5,6,10,4,3,10,0,0,43,0,8,8.5,0,6.9,7,2,1,5,1,9,3,8,0,0,49,1,8,8.5,1,4.8,1,6,3,2,8,3,3,4,0,0,36,0,8,9.0,0,3.9,5,4,1,1,8,6,5,1,0,0,91,1,8,8.5,1,-0.2,3,8,5,2,8,10,5,10,0,0,93,1,8,8.5,1,-0.2,7,5,4,9,5,5,1,8,0,0,85,0,8,9.0,0,8.9,1,10,5,5,8,6,2,6,0,0,97,1,8,8.5,1,-0.2,5,6,3,1,7,1,5,7,0,0,93,0,8,9.0,0,2.9,8,10,8,5,3,7,3,6,0,0,91,0,8,8.5,1,-0.2,10,2,7,7,7,5,8,4,0,0
113,2,0,1,1,7,8.0,0,0.9,6,8,7,9,4,6,7,0,0,0,5,0,7,7.5,1,-0.2,3,4,8,10,2,6,9,0,0,0,0,0,7,8.0,0,-0.2,7,8,2,8,5,8,8,0,0,0,0,1,7,8.5,0,-0.2,5,1,7,3,7,10,1,0,0,0,0,0,7,8.0,1,-0.2,7,6,10,9,10,4,6,0,0,0,1,1,7,8.0,0,0.9,3,10,3,2,7,5,1,0,0,0,0,0,7,8.5,0,-0.2,5,7,9,4,6,5,2,0,0,0,36,0,7,8.0,1,-0.2,7,3,3,8,3,5,8,0,0,0,44,1,7,7.5,1,0.0,6,9,9,2,3,3,5,0,0,0,44,0,7,7.5,0,5.9,10,2,5,8,9,3,2,0,0,0,48,0,7,7.5,1,-0.2,9,5,6,10,4,3,10,0,0,0,36,0,7,8.0,0,6.9,2,1,5,1,9,3,8,0,0,0,48,1,7,8.0,0,0.9,6,3,2,8,3,3,4,0,0,0,31,0,7,8.5,0,4.9,4,1,1,8,6,5,1,0,0,0,91,1,7,7.5,1,0.0,8,5,2,8,10,5,10,0,0,0,86,1,7,8.0,0,6.9,5,4,9,5,5,1,8,0,0,0,84,0,7,8.5,0,0.9,10,5,5,8,6,2,6,0,0,0,92,1,7,8.0,0,4.9,6,3,1,7,1,5,7,0,0,0,85,0,7,8.5,0,7.9,10,8,5,3,7,3,6,0,0,0,81,0,7,8.0,0,9.9,2,7,7,7,5,8,4,0,0,0
113,3,0,0,1,6,7.5,0,-0.2,8,7,9,4,6,7,0,0,0,0,2,0,6,7.0,0,2.9,4,8,10,2,6,9,0,0,0,0,0,0,6,7.0,1,-0.2,8,2,8,5,8,8,0,0,0,0,0,1,6,8.0,0,-0.2,1,7,3,7,10,1,0,0,0,0,0,0,6,7.0,1,-0.2,6,10,9,10,4,6,0,0,0,0,1,1,6,7.0,1,0.0,10,3,2,7,5,1,0,0,0,0,0,0,6,7.5,1,-0.2,7,9,4,6,5,2,0,0,0,0,29,0,6,7.5,0,6.9,3,3,8,3,5,8,0,0,0,0,38,1,6,7.0,0,5.9,9,9,2,3,3,5,0,0,0,0,34,1,6,7.0,0,9.9,2,5,8,9,3,2,0,0,0,0,48,0,6,6.5,1,-0.2,5,6,10,4,3,10,0,0,0,0,36,0,6,7.0,1,-0.2,1,5,1,9,3,8,0,0,0,0,42,1,6,7.5,0,5.9,3,2,8,3,3,4,0,0,0,0,27,0,6,8.0,0,3.9,1,1,8,6,5,1,0,0,0,0,83,1,6,7.0,0,7.9,5,2,8,10,5,10,0,0,0,0,86,1,6,7.0,1,0.0,4,9,5,5,1,8,0,0,0,0,74,0,6,8.0,0,9.9,5,5,8,6,2,6,0,0,0,0,86,0,6,7.5,0,5.9,3,1,7,1,5,7,0,0,0,0,85,0,6,7.5,1,-0.2,8,5,3,7,3,6,0,0,0,0,79,1,6,7.5,0,1.9,7,7,7,5,8,4,0,0,0,0
113,4,0,0,1,5,6.5,1,0.0,7,9,4,6,7,0,0,0,0,0,2,0,5,6.0,1,-0.2,8,10,2,6,9,0,0,0,0,0,0,0,5,6.0,1,-0.2,2,8,5,8,8,0,0,0,0,0,0,1,5,7.5,0,-0.2,7,3,7,10,1,0,0,0,0,0,0,0,5,6.5,0,-0.2,10,9,10,4,6,0,0,0,0,0,0,1,5,6.5,0,-0.2,3,2,7,5,1,0,0,0,0,0,0,0,5,7.0,0,-0.2,9,4,6,5,2,0,0,0,0,0,29,0,5,6.5,1,-0.2,3,8,3,5,8,0,0,0,0,0,38,1,5,6.0,1,0.0,9,2,3,3,5,0,0,0,0,0,32,1,5,6.5,0,1.9,5,8,9,3,2,0,0,0,0,0,43,0,5,6.0,0,4.9,6,10,4,3,10,0,0,0,0,0,35,0,5,6.5,0,0.9,5,1,9,3,8,0,0,0,0,0,39,1,5,7.0,0,2.9,2,8,3,3,4,0,0,0,0,0,26,1,5,7.5,0,0.9,1,8,6,5,1,0,0,0,0,0,78,1,5,6.5,0,4.9,2,8,10,5,10,0,0,0,0,0,82,1,5,6.5,0,3.9,9,5,5,1,8,0,0,0,0,0,69,0,5,7.5,0,4.9,5,8,6,2,6,0,0,0,0,0,83,0,5,7.0,0,2.9,1,7,1,5,7,0,0,0,0,0,77,1,5,7.0,0,7.9,5,3,7,3,6,0,0,0,0,0,79,1,5,6.5,1,0.0,7,7,5,8,4,0,0,0,0,0
113,5,0,0,1,4,5.5,1,0.0,9,4,6,7,0,0,0,0,0,0,0,1,4,5.5,0,-0.2,10,2,6,9,0,0,0,0,0,0,0,1,4,5.0,1,-0.2,8,5,8,8,0,0,0,0,0,0,0,1,4,6.5,1,0.0,3,7,10,1,0,0,0,0,0,0,0,0,4,5.5,1,-0.2,9,10,4,6,0,0,0,0,0,0,0,1,4,5.5,1,0.0,2,7,5,1,0,0,0,0,0,0,0,0,4,6.0,1,-0.2,4,6,5,2,0,0,0,0,0,0,26,0,4,6.0,0,2.9,8,3,5,8,0,0,0,0,0,0,38,0,4,5.0,1,0.0,2,3,3,5,0,0,0,0,0,0,32,1,4,5.5,1,0.0,8,9,3,2,0,0,0,0,0,0,43,1,4,5.0,1,-0.2,10,4,3,10,0,0,0,0,0,0,30,0,4,6.0,0,4.9,1,9,3,8,0,0,0,0,0,0,39,0,4,6.0,1,0.0,8,3,3,4,0,0,0,0,0,0,25,1,4,7.0,0,0.9,8,6,5,1,0,0,0,0,0,0,78,0,4,5.5,1,0.0,8,10,5,10,0,0,0,0,0,0,73,0,4,6.0,0,8.9,5,5,1,8,0,0,0,0,0,0,64,0,4,7.0,0,4.9,8,6,2,6,0,0,0,0,0,0,82,0,4,6.5,0,0.9,7,1,5,7,0,0,0,0,0,0,72,0,4,6.5,0,4.9,3,7,3,6,0,0,0,0,0,0,72,1,4,6.0,0,6.9,7,5,8,4,0,0,0,0,0,0
113,6,0,0,1,3,4.5,1,0.0,4,6,7,0,0,0,0,0,0,0,0,1,3,5.0,0,-0.2,2,6,9,0,0,0,0,0,0,0,0,1,3,4.0,1,0.0,5,8,8,0,0,0,0,0,0,0,0,1,3,5.5,1,0.0,7,10,1,0,0,0,0,0,0,0,0,0,3,4.5,1,-0.2,10,4,6,0,0,0,0,0,0,0,0,1,3,5.0,0,-0.2,7,5,1,0,0,0,0,0,0,0,0,0,3,5.5,0,-0.2,6,5,2,0,0,0,0,0,0,0,18,0,3,5.5,0,7.9,3,5,8,0,0,0,0,0,0,0,36,0,3,4.5,0,1.9,3,3,5,0,0,0,0,0,0,0,24,1,3,5.0,0,7.9,9,3,2,0,0,0,0,0,0,0,33,1,3,4.5,0,9.9,4,3,10,0,0,0,0,0,0,0,29,0,3,5.5,0,0.9,9,3,8,0,0,0,0,0,0,0,39,0,3,5.0,1,-0.2,3,3,4,0,0,0,0,0,0,0,25,1,3,6.0,1,0.0,6,5,1,0,0,0,0,0,0,0,70,0,3,5.0,0,7.9,10,5,10,0,0,0,0,0,0,0,68,0,3,5.5,0,4.9,5,1,8,0,0,0,0,0,0,0,56,0,3,6.5,0,7.9,6,2,6,0,0,0,0,0,0,0,82,0,3,5.5,1,-0.2,1,5,7,0,0,0,0,0,0,0,72,0,3,5.5,1,-0.2,7,3,6,0,0,0,0,0,0,0,65,1,3,5.5,0,6.9,5,8,4,0,0,0,0,0,0,0
